MATRICULA                     NOMBRES                  APPAT           APMAT         FECHA NAC     EDAD      SEXO           ORIGEN                    CURP

301649    |  LUIS       |  MARIO      |             | CASTRO      |  RAMIREZ     |  21-08-1974  |  49    |  H      |  CHIHUAHUA             |  CARL740821HCHSMS05  |
302105    |  MANUEL     |  CARLOS     |             | HERRERA     |  VILLANUEVA  |  24-03-2008  |  15    |  H      |  CHIHUAHUA             |  HEVM080324HCHRLNA4  |
302121    |  MIGUEL     |  ALEJANDRO  |             | GUZMAN      |  RUIZ        |  16-07-2007  |  16    |  H      |  TLAXCALA              |  GURM070716HTLZZGA3  |
302292    |  CARLOS     |  FERNANDO   |             | ROJAS       |  HERRERA     |  21-04-1966  |  57    |  H      |  AGUASCALIENTES        |  ROHC660421HAGJRR05  |
304321    |  JAVIER     |  HECTOR     |             | MEDINA      |  ZAMORA      |  25-01-1969  |  54    |  H      |  COAHUILA              |  MEZJ690125HCODMV01  |
305074    |  CARLOS     |  FERNANDO   |             | CORDERO     |  DELGADO     |  05-12-1950  |  73    |  H      |  ZACATECAS             |  CODC501205HZARLR03  |
305835    |  PABLO      |  LUIS       |             | VARGAS      |  REYES       |  31-12-2022  |  1     |  H      |  GUERRERO              |  VARP221231HGURYBA2  |
305911    |  JUAN       |  ALBERTO    |             | MEDINA      |  PENA        |  11-04-1955  |  68    |  H      |  COAHUILA              |  MEPJ550411HCODNN03  |
306263    |  CRISTINA   |  SILVIA     |             | ROMERO      |  JIMENEZ     |  01-07-2006  |  17    |  M      |  OAXACA                |  ROJC060701MOAMMRA3  |
306380    |  JAVIER     |  HECTOR     |             | PIZARRO     |  CORDERO     |  23-07-1954  |  69    |  H      |  CAMPECHE              |  PICJ540723HCAZRV01  |
306744    |  LUISA      |  LINDA      |             | REYES       |  RAMIREZ     |  18-03-1984  |  39    |  M      |  SONORA                |  RERL840318MSOYMS01  |
307659    |  PEDRO      |  GABRIEL    |             | GUTIERREZ   |  FERNANDEZ   |  25-02-1970  |  53    |  H      |  PUEBLA                |  GUFP700225HPUTRD01  |
307787    |  LUIS       |  MARIO      |             | MEDINA      |  ROMERO      |  14-06-1977  |  46    |  H      |  MICHOACAN             |  MERL770614HMIDMS02  |
307845    |  LAURA      |  NATALIA    |             | SALAZAR     |  PENA        |  22-03-1989  |  34    |  M      |  SINALOA               |  SAPL890322MSILNR05  |
308075    |  DAVID      |  ENRIQUE    |             | RUIZ        |  VALLE       |  15-10-1959  |  64    |  H      |  GUANAJUATO            |  RUVD591015HGUZLV01  |
308448    |  FRANCISCO  |  JULIO      |             | MENDOZA     |  ROMERO      |  26-11-1989  |  34    |  H      |  COLIMA                |  MERF891126HCONMR04  |
308752    |  MIGUEL     |  ALEJANDRO  |             | GUZMAN      |  ORTEGA      |  31-08-2021  |  2     |  H      |  CHIHUAHUA             |  GUOM210831HCHZRGA1  |
308920    |  TERESA     |  VALERIA    |             | CASTRO      |  ROBLES      |  12-05-2002  |  21    |  M      |  NAYARIT               |  CART020512MNASBRA1  |
309079    |  DAVID      |  ENRIQUE    |             | ROBLES      |  REYES       |  19-05-2000  |  23    |  H      |  MEXICO                |  RORD000519HMEBYVA5  |
309442    |  DAVID      |  ENRIQUE    |             | MORA        |  MENDOZA     |  12-04-2015  |  8     |  H      |  MORELOS               |  MOMD150412HMORNVA3  |
309997    |  DAVID      |  ENRIQUE    |             | DELGADO     |  GUTIERREZ   |  11-01-1975  |  48    |  H      |  AGUASCALIENTES        |  DEGD750111HAGLTV03  |
310130    |  PEDRO      |  GABRIEL    |             | HARO        |  LOPEZ       |  08-03-2007  |  16    |  H      |  SONORA                |  HALP070308HSORPDA5  |
310202    |  CARMEN     |  BEATRIZ    |             | SANDEZ      |  ROSALES     |  06-04-1952  |  71    |  M      |  TAMAULIPAS            |  SARC520406MTANSR04  |
310703    |  LUISA      |  LINDA      |             | FERNANDEZ   |  GUZMAN      |  25-09-1971  |  52    |  M      |  EXTRANJERO            |  FEGL710925MEXRZS03  |
310760    |  LUISA      |  LINDA      |             | MORALES     |  MENDOZA     |  24-02-1991  |  32    |  M      |  YUCATAN               |  MOML910224MYURNS04  |
310885    |  TERESA     |  VALERIA    |             | NAVARRO     |  DELGADO     |  04-06-1996  |  27    |  M      |  CAMPECHE              |  NADT960604MCAVLR05  |
311034    |  LAURA      |  NATALIA    |             | TORRES      |  MIRANDA     |  10-03-2021  |  2     |  M      |  GUERRERO              |  TOML210310MGURRRA1  |
