MATRICULA                     NOMBRES                  APPAT           APMAT         FECHA NAC     EDAD      SEXO           ORIGEN                    CURP

300164    |  CARLOS     |  FERNANDO   |             | RAMIREZ     |  NAVARRO     |  30-12-1996  |  27    |  H      |  TLAXCALA              |  RANC961230HTLMVR01  |
300183    |  MARTA      |  DIANA      |             | BLANCO      |  RIOS        |  08-02-1962  |  61    |  M      |  QUERETARO             |  BARM620208MQULSR03  |
300401    |  SOFIA      |  CLARA      |             | NAVARRO     |  HARO        |  08-03-1981  |  42    |  M      |  SINALOA               |  NAHS810308MSIVRF05  |
300402    |  CRISTINA   |  SILVIA     |             | CASTRO      |  GUZMAN      |  12-01-1977  |  46    |  M      |  NAYARIT               |  CAGC770112MNASZR01  |
300436    |  CRISTINA   |  SILVIA     |             | NAVARRO     |  RIVAS       |  17-11-1968  |  55    |  M      |  GUERRERO              |  NARC681117MGUVVR04  |
300626    |  LUISA      |  LINDA      |             | ROBLES      |  ROSALES     |  25-12-2008  |  15    |  M      |  SONORA                |  RORL081225MSOBSSA4  |
300632    |  FRANCISCO  |  JULIO      |             | MORA        |  GUERRA      |  10-03-1999  |  24    |  H      |  MORELOS               |  MOGF990310HMORRR04  |
300640    |  CARMEN     |  BEATRIZ    |             | HERRERA     |  CASTRO      |  26-10-2014  |  9     |  M      |  SAN LUIS POTOSI       |  HECC141026MSARSRA5  |
300644    |  MANUEL     |  CARLOS     |             | PAREDES     |  PANTOJA     |  28-06-1997  |  26    |  H      |  COLIMA                |  PAPM970628HCORNN01  |
300669    |  ISABEL     |  LOURDES    |             | JIMENEZ     |  MEDINA      |  06-11-1960  |  63    |  M      |  TABASCO               |  JIMI601106MTAMDS01  |
300675    |  LAURA      |  NATALIA    |             | TORRES      |  LUGO        |  05-07-2000  |  23    |  M      |  QUERETARO             |  TOLL000705MQURGRA5  |
300683    |  CARMEN     |  BEATRIZ    |             | GUTIERREZ   |  RIVAS       |  22-01-1951  |  72    |  M      |  OAXACA                |  GURC510122MOATVR05  |
300685    |  LUISA      |  LINDA      |             | NAVARRO     |  TORRES      |  10-10-1974  |  49    |  M      |  QUERETARO             |  NATL741010MQUVRS05  |
300714    |  LUIS       |  MARIO      |             | JIMENEZ     |  DELGADO     |  24-05-1971  |  52    |  H      |  CHIHUAHUA             |  JIDL710524HCHMLS04  |
300721    |  JAVIER     |  HECTOR     |             | NAVARRO     |  VALLE       |  09-02-1987  |  36    |  H      |  NUEVO LEON            |  NAVJ870209HNUVLV05  |
