MATRICULA                     NOMBRES                  APPAT           APMAT         FECHA NAC     EDAD      SEXO           ORIGEN                    CURP

300067    |  LAURA      |  NATALIA    |             | ORTEGA      |  GUERRA      |  07-09-2019  |  4     |  M      |  OAXACA                |  OEGL190907MOARRRA3  |
300187    |  FRANCISCO  |  JULIO      |             | SOTO        |  MENDOZA     |  19-04-1996  |  27    |  H      |  OAXACA                |  SOMF960419HOATNR02  |
300375    |  LAURA      |  NATALIA    |             | HERRERA     |  RIOS        |  25-08-1973  |  50    |  M      |  QUERETARO             |  HERL730825MQURSR03  |
301379    |  PAULA      |  VICTORIA   |             | VARGAS      |  SILVA       |  11-03-1983  |  40    |  M      |  AGUASCALIENTES        |  VASP830311MAGRLL03  |
301514    |  ISABEL     |  LOURDES    |             | FERNANDEZ   |  SILVA       |  12-03-2002  |  21    |  M      |  PUEBLA                |  FESI020312MPURLSA3  |
301646    |  PABLO      |  LUIS       |             | LOPEZ       |  CISNEROS    |  08-06-2010  |  13    |  H      |  MICHOACAN             |  LOCP100608HMIPSBA1  |
301696    |  TERESA     |  VALERIA    |             | ROLDAN      |  NAVARRO     |  24-01-1961  |  62    |  M      |  TABASCO               |  RONT610124MTALVR04  |
301822    |  PATRICIA   |  ADRIANA    |             | SALINAS     |  LUGO        |  07-05-2000  |  23    |  M      |  BAJA CALIFORNIA       |  SALP000507MBALGTA1  |
302601    |  ANA        |  RAQUEL     |             | AVILA       |  REYES       |  02-12-2000  |  23    |  M      |  SAN LUIS POTOSI       |  AIRA001202MSAVYNA2  |
302661    |  DAVID      |  ENRIQUE    |             | VILLANUEVA  |  BLANCO      |  04-05-2019  |  4     |  H      |  MICHOACAN             |  VIBD190504HMILLVA3  |
302680    |  MARIA      |  LUCIA      |             | CALDERON    |  CACERES     |  07-04-1979  |  44    |  M      |  CIUDAD DE MEXICO      |  CACL790407MCILCC02  |
303430    |  DAVID      |  ENRIQUE    |             | CACERES     |  GONZALEZ    |  12-04-1960  |  63    |  H      |  TAMAULIPAS            |  CAGD600412HTACNV04  |
303682    |  MARTA      |  DIANA      |             | RIOS        |  ROMERO      |  24-09-2003  |  20    |  M      |  HIDALGO               |  RIRM030924MHISMRA4  |
303850    |  ROSA       |  ALICIA     |             | SOLANO      |  MENDOZA     |  01-02-1967  |  56    |  M      |  QUINTANA ROO          |  SOMR670201MQULNS02  |
304332    |  JUAN       |  ALBERTO    |             | MORALES     |  SOLANO      |  07-11-1986  |  37    |  H      |  COLIMA                |  MOSJ861107HCORLN01  |
304407    |  TERESA     |  VALERIA    |             | GUTIERREZ   |  REYES       |  26-10-1950  |  73    |  M      |  TLAXCALA              |  GURT501026MTLTYR02  |
