MATRICULA                     NOMBRES                  APPAT           APMAT         FECHA NAC     EDAD      SEXO           ORIGEN                    CURP

325395    |  JAVIER     |  HECTOR     |             | VARGAS      |  VARGAS      |  16-01-2022  |  1     |  H      |  EXTRANJERO            |  VAVJ220116HEXRRVA4  |
326712    |  MARIA      |  LUCIA      |             | SANCHEZ     |  VILLANUEVA  |  26-04-2000  |  23    |  M      |  NAYARIT               |  SAVL000426MNANLCA4  |
316993    |  ANA        |  RAQUEL     |             | GUZMAN      |  LOPEZ       |  12-09-1997  |  26    |  M      |  COLIMA                |  GULA970912MCOZPN03  |
306640    |  MANUEL     |  CARLOS     |             | MEDINA      |  AGUILAR     |  23-03-1951  |  72    |  H      |  AGUASCALIENTES        |  MEAM510323HAGDGN02  |
309511    |  MANUEL     |  CARLOS     |             | SALAZAR     |  VARGAS      |  01-05-1983  |  40    |  H      |  YUCATAN               |  SAVM830501HYULRN05  |
331758    |  ELENA      |  GLORIA     |             | VIDAL       |  ROLDAN      |  31-10-1966  |  57    |  M      |  TLAXCALA              |  VIRE661031MTLDLL05  |
306418    |  JAVIER     |  HECTOR     |             | REYES       |  GUZMAN      |  01-05-1974  |  49    |  H      |  DURANGO               |  REGJ740501HDUYZV01  |
313319    |  PAULA      |  VICTORIA   |             | REYES       |  AGUILAR     |  17-04-1983  |  40    |  M      |  DURANGO               |  REAP830417MDUYGL03  |
319024    |  CARLOS     |  FERNANDO   |             | ORTEGA      |  CASTRO      |  08-04-2005  |  18    |  H      |  BAJA CALIFORNIA SUR   |  OECC050408HBARSRA2  |
305404    |  DAVID      |  ENRIQUE    |             | MENDOZA     |  TORRES      |  16-08-1996  |  27    |  H      |  YUCATAN               |  METD960816HYUNRV03  |
330424    |  CARLOS     |  FERNANDO   |             | VILLANUEVA  |  ESPINOZA    |  20-05-2020  |  3     |  H      |  SINALOA               |  VIEC200520HSILSRA1  |
306978    |  FRANCISCO  |  JULIO      |             | BLANCO      |  GONZALEZ    |  31-11-1994  |  29    |  H      |  SAN LUIS POTOSI       |  BAGF941131HSALNR01  |
