      2161 ||     300019 ||    MIGUEL ||          HIDALGO ||           FLORES ||       HOMBRE ||          InvCien ||   21 ||    1016520
      3308 ||     300044 ||     PAULA ||          ROSALES ||          HIDALGO ||        MUJER ||           EspLog ||   22 ||    1010870
      3287 ||     300046 || ALEJANDRA ||            REYES ||            DURAN ||        MUJER ||           TecSup ||   23 ||    1005412
      1386 ||     300077 ||    CARLOS ||             MORA ||         VALENCIA ||       HOMBRE ||        Arquitect ||   43 ||    1006753
        31 ||     300086 ||      JOSE ||            GOMEZ ||           MACIAS ||       HOMBRE ||          IngElec ||   40 ||    1017883
      2950 ||     300087 ||   BEATRIZ ||          AGUILAR ||         VALENCIA ||        MUJER ||          Abogado ||   37 ||    1027023
      3008 ||     300092 ||     SOFIA ||            ROMAN ||          ALVAREZ ||        MUJER ||           EspSeg ||   41 ||    1028675
      1586 ||     300112 ||    MIGUEL ||          PACHECO ||             VEGA ||       HOMBRE ||          AnlVent ||   49 ||    1015089
      1640 ||     300122 ||      RAUL ||          SERRANO ||          BARRIOS ||       HOMBRE ||          GteProj ||   44 ||    1029062
      2953 ||     300133 ||      ROSA ||            LOPEZ ||         ESPINOZA ||        MUJER ||         ProfPrim ||   46 ||    1011987
       950 ||     300142 ||       ANA ||        CERVANTES ||          DELGADO ||        MUJER ||          ChefEje ||   49 ||    1007730
      2920 ||     300148 ||     MARIO ||            URIBE ||           VARGAS ||       HOMBRE ||          DevSoft ||   32 ||    1007812
      2984 ||     300158 ||     SOFIA ||             LEON ||           VALDES ||        MUJER ||          Contado ||   26 ||    1030988
      2194 ||     300171 ||     MARIO ||          SERRANO ||            RAMOS ||       HOMBRE ||          TrabSoc ||   28 ||    1016729
       782 ||     300178 ||     MARIO ||            PARDO ||          CORDERO ||       HOMBRE ||          AnMktDg ||   26 ||    1010069
      2339 ||     300182 ||    GLORIA ||             LEAL ||            PARDO ||        MUJER ||            PsOrg ||   28 ||    1007186
      2257 ||     300187 ||   ARMANDO ||        CONTRERAS ||         GONZALES ||       HOMBRE ||          AnlSist ||   50 ||    1020450
      2709 ||     300197 ||     CLARA ||         GUERRERO ||            ROJAS ||        MUJER ||            DisUX ||   29 ||    1029019
        80 ||     300209 ||    HECTOR ||            SILVA ||            DURAN ||       HOMBRE ||           EspLog ||   38 ||    1024691
       351 ||     300224 || ALEJANDRO ||         IGLESIAS ||           SUAREZ ||       HOMBRE ||            PsOrg ||   26 ||    1025510
      1960 ||     300244 ||  SALVADOR ||            RAMOS ||           CHACON ||       HOMBRE ||          Traduct ||   44 ||    1007814
      2360 ||     300245 ||  GABRIELA ||            ORTIZ ||           ROMERO ||        MUJER ||          EspRRHH ||   48 ||    1015364
      3015 ||     300250 ||     PILAR ||          HERRERA ||         ALVARADO ||        MUJER ||          TrabSoc ||   35 ||    1010009
      1865 ||     300271 ||  PATRICIA ||         ESPINOZA ||            REYES ||        MUJER ||          DisGraf ||   43 ||    1006922
      2940 ||     300297 ||   NATALIA ||         SANDOVAL ||             LEAL ||        MUJER ||          EspRRHH ||   44 ||    1018431
      2466 ||     300310 ||   ROBERTO ||          SALAZAR ||            URIBE ||       HOMBRE ||          EspRRHH ||   42 ||    1029569
       611 ||     300311 ||     MARIO ||        CERVANTES ||         BAUTISTA ||       HOMBRE ||          RepVInt ||   21 ||    1010044
      1192 ||     300319 ||   ROBERTO ||           OSORIO ||          ALVAREZ ||       HOMBRE ||        Arquitect ||   33 ||    1001038
      2650 ||     300323 ||     MARiA ||             LEAL ||         MENENDEZ ||        MUJER ||         ProfPrim ||   19 ||    1030996
      3129 ||     300326 ||   ARMANDO ||           TORRES ||           RIVERA ||       HOMBRE ||           IngRed ||   21 ||    1030595
       146 ||     300347 ||     JORGE ||            GOMEZ ||             SOTO ||       HOMBRE ||         AsistAdm ||   45 ||    1013896
       296 ||     300349 ||   EDUARDO ||             SOSA ||            ARIAS ||       HOMBRE ||          ConsFin ||   34 ||    1012779
      1931 ||     300377 ||    MANUEL ||         GONZALES ||         GUERRERO ||       HOMBRE ||          AnlVent ||   20 ||    1007384
      2563 ||     300381 || ALEJANDRO ||             LARA ||          MENDOZA ||       HOMBRE ||           MedGen ||   37 ||    1002919
      1264 ||     300389 ||    GLORIA ||           ROMERO ||            REYES ||        MUJER ||         ProfPrim ||   29 ||    1011320
       118 ||     300401 ||    MIGUEL ||          HERRERA ||           MACIAS ||       HOMBRE ||         IngCivil ||   39 ||    1028305
      1111 ||     300410 ||    ISRAEL ||         CASTILLO ||             MORA ||       HOMBRE ||          InvCien ||   50 ||    1023147
      1076 ||     300442 ||   NATALIA ||           CHACON ||            PARDO ||        MUJER ||            DisUX ||   39 ||    1001938
      1077 ||     300445 ||    ISRAEL ||         ESTRELLA ||           VARELA ||       HOMBRE ||          DevSoft ||   49 ||    1004349
       886 ||     300454 ||  GABRIELA ||             LEAL ||          MERCADO ||        MUJER ||          IngElec ||   25 ||    1021799
      1910 ||     300466 ||   ADRIANA ||             SOTO ||           MEDINA ||        MUJER ||          ChefEje ||   33 ||    1014423
       286 ||     300469 ||     PILAR ||           OSORIO ||            DURAN ||        MUJER ||          DevSoft ||   48 ||    1008206
      2736 ||     300482 ||  SALVADOR ||          CABRERA ||           MORENO ||       HOMBRE ||           EspSeg ||   41 ||    1020911
       119 ||     300486 ||    GLORIA ||            TOVAR ||          SERRANO ||        MUJER ||           EspLog ||   37 ||    1014949
      1222 ||     300491 ||   ADRIANA ||         ESTRELLA ||           GUZMAN ||        MUJER ||          ConsFin ||   30 ||    1021133
